[2023-06-09 12:38:27,668][root][INFO] - Logger initialized
[2023-06-09 12:38:39,659][root][INFO] - Found 972 patients in this dataset
[2023-06-09 12:42:08,581][root][INFO] - Basic Split: 972 samples
[2023-06-09 12:42:08,605][root][INFO] - Train set has 786 samples, val has 88 samples, test has 98 samples
[2023-06-09 12:42:08,621][root][INFO] - 	[786] defaultdict(<class 'int'>, {1: 396, 0: 390})
[2023-06-09 12:42:08,637][root][INFO] - 	[88] defaultdict(<class 'int'>, {0: 44, 1: 44})
[2023-06-09 12:42:08,638][root][INFO] - 	[98] defaultdict(<class 'int'>, {0: 52, 1: 46})
[2023-06-09 12:42:08,795][root][INFO] - Train task initialized
[2023-06-09 12:42:08,796][root][INFO] - Starting training task...
[2023-06-09 12:42:08,796][root][INFO] - Doing a basic split...
[2023-06-09 13:17:53,620][root][INFO] - Epoch [44/200] Train Accuracy: 64.06%, Val Accuracy: 50.00%, Train Loss: 0.6328, Val Loss: 0.6950
[2023-06-09 13:18:42,225][root][INFO] - Epoch [45/200] Train Accuracy: 65.05%, Val Accuracy: 51.14%, Train Loss: 0.6368, Val Loss: 0.7583
[2023-06-09 13:19:31,476][root][INFO] - Epoch [46/200] Train Accuracy: 67.09%, Val Accuracy: 68.18%, Train Loss: 0.6171, Val Loss: 0.6049
[2023-06-09 13:20:22,022][root][INFO] - Epoch [47/200] Train Accuracy: 68.84%, Val Accuracy: 53.41%, Train Loss: 0.6080, Val Loss: 0.7511
[2023-06-09 13:21:10,636][root][INFO] - Epoch [48/200] Train Accuracy: 67.82%, Val Accuracy: 64.77%, Train Loss: 0.5995, Val Loss: 0.6219
[2023-06-09 13:21:59,291][root][INFO] - Epoch [49/200] Train Accuracy: 68.09%, Val Accuracy: 71.59%, Train Loss: 0.6124, Val Loss: 0.5508
[2023-06-09 13:22:47,874][root][INFO] - Epoch [50/200] Train Accuracy: 67.20%, Val Accuracy: 53.41%, Train Loss: 0.6032, Val Loss: 0.7200
[2023-06-09 13:23:36,532][root][INFO] - Epoch [51/200] Train Accuracy: 68.35%, Val Accuracy: 72.73%, Train Loss: 0.6019, Val Loss: 0.5341
[2023-06-09 13:24:25,113][root][INFO] - Epoch [52/200] Train Accuracy: 68.96%, Val Accuracy: 51.14%, Train Loss: 0.6108, Val Loss: 0.6722
[2023-06-09 13:25:13,780][root][INFO] - Epoch [53/200] Train Accuracy: 67.46%, Val Accuracy: 51.14%, Train Loss: 0.6061, Val Loss: 0.7115
[2023-06-09 13:26:02,341][root][INFO] - Epoch [54/200] Train Accuracy: 71.91%, Val Accuracy: 72.73%, Train Loss: 0.5699, Val Loss: 0.5664
[2023-06-09 13:26:50,992][root][INFO] - Epoch [55/200] Train Accuracy: 69.48%, Val Accuracy: 55.68%, Train Loss: 0.5781, Val Loss: 0.7538
[2023-06-09 13:27:39,570][root][INFO] - Epoch [56/200] Train Accuracy: 72.53%, Val Accuracy: 73.86%, Train Loss: 0.5718, Val Loss: 0.5429
[2023-06-09 13:28:28,225][root][INFO] - Epoch [57/200] Train Accuracy: 71.27%, Val Accuracy: 78.41%, Train Loss: 0.5819, Val Loss: 0.5015
[2023-06-09 13:29:16,789][root][INFO] - Epoch [58/200] Train Accuracy: 72.66%, Val Accuracy: 63.64%, Train Loss: 0.5765, Val Loss: 0.6273
[2023-06-09 13:30:05,445][root][INFO] - Epoch [59/200] Train Accuracy: 73.17%, Val Accuracy: 75.00%, Train Loss: 0.5519, Val Loss: 0.5450
[2023-06-09 13:30:54,002][root][INFO] - Epoch [60/200] Train Accuracy: 70.64%, Val Accuracy: 75.00%, Train Loss: 0.5813, Val Loss: 0.5778
[2023-06-09 13:31:42,650][root][INFO] - Epoch [61/200] Train Accuracy: 74.95%, Val Accuracy: 64.77%, Train Loss: 0.5480, Val Loss: 0.6260
[2023-06-09 13:32:31,276][root][INFO] - Epoch [62/200] Train Accuracy: 73.18%, Val Accuracy: 79.55%, Train Loss: 0.5754, Val Loss: 0.5016
[2023-06-09 13:33:19,934][root][INFO] - Epoch [63/200] Train Accuracy: 73.44%, Val Accuracy: 70.45%, Train Loss: 0.5506, Val Loss: 0.5731
[2023-06-09 13:34:08,495][root][INFO] - Epoch [64/200] Train Accuracy: 73.82%, Val Accuracy: 73.86%, Train Loss: 0.5429, Val Loss: 0.5743
[2023-06-09 13:34:57,148][root][INFO] - Epoch [65/200] Train Accuracy: 74.19%, Val Accuracy: 67.05%, Train Loss: 0.5507, Val Loss: 0.6240
[2023-06-09 13:35:45,720][root][INFO] - Epoch [66/200] Train Accuracy: 73.55%, Val Accuracy: 75.00%, Train Loss: 0.5476, Val Loss: 0.5696
[2023-06-09 13:36:34,370][root][INFO] - Epoch [67/200] Train Accuracy: 73.81%, Val Accuracy: 76.14%, Train Loss: 0.5421, Val Loss: 0.5457
[2023-06-09 13:37:22,945][root][INFO] - Epoch [68/200] Train Accuracy: 74.83%, Val Accuracy: 80.68%, Train Loss: 0.5403, Val Loss: 0.4652
[2023-06-09 13:38:11,604][root][INFO] - Epoch [69/200] Train Accuracy: 75.85%, Val Accuracy: 75.00%, Train Loss: 0.5406, Val Loss: 0.5028
[2023-06-09 13:39:00,169][root][INFO] - Epoch [70/200] Train Accuracy: 77.75%, Val Accuracy: 79.55%, Train Loss: 0.5129, Val Loss: 0.4733
[2023-06-09 13:39:48,815][root][INFO] - Epoch [71/200] Train Accuracy: 74.06%, Val Accuracy: 76.14%, Train Loss: 0.5484, Val Loss: 0.5066
[2023-06-09 13:40:37,370][root][INFO] - Epoch [72/200] Train Accuracy: 77.10%, Val Accuracy: 81.82%, Train Loss: 0.5156, Val Loss: 0.4410
[2023-06-09 13:41:26,025][root][INFO] - Epoch [73/200] Train Accuracy: 76.97%, Val Accuracy: 76.14%, Train Loss: 0.5162, Val Loss: 0.5585
[2023-06-09 13:42:14,602][root][INFO] - Epoch [74/200] Train Accuracy: 77.11%, Val Accuracy: 64.77%, Train Loss: 0.5094, Val Loss: 0.6472
[2023-06-09 13:43:03,243][root][INFO] - Epoch [75/200] Train Accuracy: 74.70%, Val Accuracy: 80.68%, Train Loss: 0.5252, Val Loss: 0.4517
[2023-06-09 13:43:51,819][root][INFO] - Epoch [76/200] Train Accuracy: 75.57%, Val Accuracy: 80.68%, Train Loss: 0.5344, Val Loss: 0.4311
[2023-06-09 13:44:40,486][root][INFO] - Epoch [77/200] Train Accuracy: 75.58%, Val Accuracy: 80.68%, Train Loss: 0.5192, Val Loss: 0.4457
[2023-06-09 13:45:29,083][root][INFO] - Epoch [78/200] Train Accuracy: 78.12%, Val Accuracy: 73.86%, Train Loss: 0.4957, Val Loss: 0.5750
[2023-06-09 13:46:17,767][root][INFO] - Epoch [79/200] Train Accuracy: 79.16%, Val Accuracy: 85.23%, Train Loss: 0.4878, Val Loss: 0.3970
